country,AlzheimersRatesByCountryPrevalentCases2019,population,longitude,latitude
India,3724735.0,1402807867.0,77.209,28.6139
China,13176386.0,1425861543.0,116.4074,39.9042
United States,5030006.0,336495769.0,-77.0364,38.8951
Indonesia,880261.0,272890093.0,106.8456,-6.2088
Pakistan,331195.0,229280621.0,73.0479,33.6844
Nigeria,261652.0,210874214.0,7.3986,9.0765
Brazil,1680108.0,213827672.0,-47.9218,-15.8267
Bangladesh,570353.0,168414908.0,90.4125,23.8103
Russia,1672270.0,145472994.0,37.6176,55.7558
Ethiopia,185750.0,118743462.0,38.7,9.033
Mexico,543763.0,126386142.0,-99.1332,19.4326
Japan,3847222.0,124946751.0,139.6917,35.6895
Philippines,329047.0,113094332.0,120.9842,14.5995
Egypt,323581.0,108391549.0,31.2357,30.0444
DR Congo,163494.0,94374379.0,15.2663,-4.4419
Vietnam,461486.0,97093774.0,105.8542,21.0285
Iran,489340.0,87590223.0,51.389,35.6892
Turkey,353.0,44699.0,32.8597,39.9334
Germany,1554062.0,83390320.0,13.405,52.52
Thailand,627211.0,71561955.0,100.5018,13.7563
Tanzania,110097.0,62637070.0,35.7516,-6.163
United Kingdom,833820.0,67167774.0,-0.1278,51.5074
France,1095217.0,64502346.0,2.3522,48.8566
South Africa,225373.0,59137710.0,28.1871,-25.7464
Italy,1347399.0,59361259.0,12.4964,41.9028
Kenya,84805.0,52511349.0,36.8172,-1.2864
Myanmar,205685.0,53618425.0,96.0785,19.7633
Colombia,352581.0,51244297.0,-74.0721,4.711
South Korea,579976.0,51831253.0,126.978,37.5665
Uganda,60492.0,45123359.0,32.5825,0.3476
Sudan,110987.0,45052904.0,32.5599,15.5007
Spain,783796.0,47397660.0,-3.7038,40.4168
Iraq,121555.0,43071016.0,44.3661,33.3152
Algeria,202123.0,43812345.0,3.0588,36.7538
Argentina,378696.0,45163623.0,-58.3816,-34.6037
Afghanistan,56690.0,39618434.0,69.2075,34.5553
Poland,584996.0,38378767.0,21.0122,52.2297
Canada,554559.0,38019178.0,-75.6919,45.4215
Morocco,179124.0,36888700.0,-6.8374,34.0224
Ukraine,557478.0,43728640.0,30.5234,50.4501
Angola,48424.0,33957975.0,13.2894,-8.8391
Saudi Arabia,67866.0,35764241.0,46.6753,24.7136
Uzbekistan,64590.0,33809850.0,69.2401,41.2995
Yemen,67096.0,32640962.0,44.191,15.3694
Mozambique,43828.0,31635726.0,32.5832,-25.9653
Ghana,54934.0,32511557.0,-0.187,5.6037
Peru,177480.0,33519231.0,-77.0428,-12.0464
Malaysia,137128.0,33396348.0,101.6869,3.139
Nepal,76543.0,29698028.0,85.324,27.7172
Madagascar,37059.0,28571222.0,47.5079,-18.8792
Ivory Coast,32860.0,27146007.0,-5.2893,6.8277
Venezuela,148992.0,28352075.0,-66.9036,10.4806
Cameroon,35081.0,26845044.0,11.5021,3.848
Niger,26195.0,24785587.0,2.1128,13.5127
Australia,334650.0,25795922.0,149.13,-35.2809
North Korea,170323.0,25921701.0,125.7625,39.0392
Syria,92540.0,21059148.0,36.2765,33.5138
Mali,29411.0,21561299.0,-8.0029,12.6392
Taiwan,257429.0,23842033.0,121.5654,25.033
Burkina Faso,30595.0,21813359.0,-1.5339,12.3657
Sri Lanka,130782.0,21746997.0,79.8612,6.9271
Malawi,30947.0,19633241.0,33.7741,-13.9626
Zambia,25202.0,19200512.0,28.3228,-15.3875
Kazakhstan,92223.0,19097429.0,71.4704,51.1605
Chile,170100.0,19393941.0,-70.6693,-33.4489
Romania,309361.0,19394347.0,26.1025,44.4268
Chad,19152.0,16910218.0,15.0557,12.1348
Somalia,16881.0,16801170.0,45.3182,2.0469
Ecuador,76371.0,17690028.0,-78.4678,-0.1807
Guatemala,53280.0,17494265.0,-90.5069,14.6349
Senegal,30338.0,16656773.000000002,-17.4677,14.7167
Netherlands,262839.0,17466838.0,4.9041,52.3676
Cambodia,51344.0,16497440.999999998,104.9282,11.5564
Zimbabwe,27560.0,15834106.0,31.0335,-17.8252
Guinea,21864.0,13368719.0,-13.5784,9.6412
Rwanda,24211.0,13305392.0,30.0619,-1.9441
Benin,16563.0,12819427.0,2.6036,6.4963
Burundi,16296.0,12386556.0,29.9306,-3.4278
Bolivia,38714.0,12009978.0,-65.2619,-19.0196
Tunisia,89363.0,12217195.0,10.1815,36.8065
Haiti,21983.0,11379095.0,-72.3074,18.5944
Belgium,181158.0,11582160.0,4.3517,50.8503
Dominican Republic,44516.0,11059980.0,-69.9312,18.4861
Jordan,30356.0,11040365.0,35.9284,31.9454
South Sudan,16470.0,10667013.0,31.5713,4.8594
Cuba,107165.0,11292160.0,-82.3666,23.1136
Honduras,27438.0,10201736.0,-87.1921,14.0723
Sweden,149126.0,10416525.0,18.0686,59.3293
Papua New Guinea,14819.0,9850462.0,147.1803,-9.4438
Czech Republic,173279.0,10523996.0,14.4378,50.0755
Azerbaijan,39706.0,10296374.0,49.8671,40.4093
Tajikistan,18359.0,9643597.0,71.2761,38.861
Greece,196477.0,10481118.0,23.7275,37.9838
Portugal,183793.0,10297984.0,-9.1393,38.7223
Hungary,164674.0,9731025.0,19.0402,47.4979
United Arab Emirates,8169.0,9327028.0,54.3773,24.4539
Belarus,124758.0,9606437.0,27.5615,53.9045
Israel,75310.0,8829385.0,35.2137,31.7683
Togo,12138.0,8542924.0,1.2255,6.1258
Sierra Leone,12616.0,8327732.0,-13.2317,8.4656
Austria,135810.0,8914448.0,16.3738,48.2082
Switzerland,134304.0,8670795.0,7.4474,46.948
Laos,17849.0,7373145.0,102.6331,17.9757
Nicaragua,21268.0,6802086.0,-86.2362,12.1149
Serbia,91385.0,7331946.0,20.4489,44.7866
Libya,30310.0,6695856.0,13.1913,32.8872
Paraguay,34406.0,6664351.0,-57.5759,-25.2637
Kyrgyzstan,24306.0,6477418.0,74.5698,42.8746
Bulgaria,113442.0,6938114.0,23.3219,42.6977
Turkmenistan,25095.0,6296510.0,58.3838,37.9838
El Salvador,38083.0,6304540.0,-89.2088,13.6984
Republic of the Congo,12142.0,5769060.0,15.2429,-4.2634
Singapore,47081.0,5926220.0,103.8198,1.3521
Denmark,77739.0,5840504.0,12.5683,55.6761
Central African Republic,8097.0,5414014.0,18.5582,4.3947
Slovakia,69235.0,5455809.0,17.1077,48.1486
Finland,91944.0,5533721.0,24.9354,60.1695
Liberia,7314.0,5140978.0,-10.7969,6.3004
Norway,71681.0,5391723.0,10.7522,59.9139
Palestine,12335.0,5076818.0,35.2137,31.7683
New Zealand,68712.0,5095771.0,174.7762,-41.2865
Costa Rica,32879.0,5140851.0,-84.0907,9.9281
Lebanon,43415.0,5631325.0,35.5018,33.8938
Ireland,50066.0,4967164.0,-6.2603,53.3498
Mauritania,9007.0,4556274.0,-15.9789,18.0794
Oman,6619.0,4497661.0,58.5463,23.6345
Panama,25845.0,4323252.0,-79.5199,8.9824
Kuwait,13722.0,4252528.0,47.9774,29.3759
Croatia,71871.0,4079100.0,15.9819,45.815
Eritrea,4546.0,3588083.0,38.9251,15.3229
Georgia,51173.0,3762641.0,44.8271,41.7151
Mongolia,9265.0,3322207.0,106.9057,47.8864
Uruguay,44063.0,3429902.0,-56.1645,-34.9011
Moldova,35147.0,3074670.0,28.8638,47.0105
Puerto Rico,44858.0,3262911.0,-66.1057,18.4655
Bosnia and Herzegovina,40895.0,3295841.0,18.4131,43.8563
Gambia,4133.0,2606941.0,-16.579,13.4549
Albania,33522.0,2861567.0,19.8189,41.3275
Jamaica,17878.0,2826398.0,-76.7926,17.9712
Armenia,26593.0,2798721.0,44.5152,40.1872
Qatar,2533.0,2692140.0,51.5265,25.2769
Botswana,5750.0,2569263.0,25.9231,-24.6282
Lithuania,50618.0,2804633.0,25.2797,54.6872
Namibia,6851.0,2511119.0,17.0658,-22.5609
Gabon,6739.0,2317151.0,9.4673,0.4162
Lesotho,5249.0,2268596.0,27.4838,-29.3142
Guinea-Bissau,2300.0,2038353.0,-15.5977,11.864
Slovenia,41605.0,2119030.0,14.5058,46.0569
North Macedonia,18317.0,2108119.0,21.4361,42.0024
Latvia,34067.0,1886860.0,24.1052,56.9496
Equatorial Guinea,2499.0,1613724.0,8.7832,3.7506
Trinidad and Tobago,10112.0,1522394.0,-61.5155,10.66
Bahrain,3804.0,1460905.0,50.586,26.2285
Timor-Leste,3365.0,1310236.0,125.5603,-8.5569
Estonia,24367.0,1329802.0,24.7536,59.437
Mauritius,9598.0,1298695.0,57.4896,-20.1654
Cyprus,10790.0,1241296.0,33.3823,35.1856
Eswatini,2266.0,1187088.0,31.1367,-26.3054
Djibouti,1739.0,1097968.0,43.1425,11.5806
Fiji,2758.0,922753.0,178.45,-18.1248
Comoros,2530.0,814006.0,43.2479,-11.7172
Guyana,2508.0,802562.0,-58.1551,6.8013
Bhutan,2213.0,775008.0,89.639,27.4728
Solomon Islands,963.0,699484.0,159.9729,-9.4456
Luxembourg,6498.0,634720.0,6.1319,49.6116
Suriname,2992.0,610325.0,-55.2038,5.852
Montenegro,6947.0,628205.0,19.2594,42.4304
Cape Verde,2267.0,585347.0,-23.5133,14.933
Malta,7742.0,521121.0,14.5146,35.8989
Maldives,1487.0,517986.0,73.5093,4.1755
Brunei,1016.0,443557.0,114.9403,4.9031
Belize,1194.0,397415.0,-88.759,17.251
Bahamas,1866.0,407164.0,-77.3963,25.0343
Iceland,4336.0,368998.0,-21.9426,64.1466
Vanuatu,674.0,315398.0,168.322,-17.7348
Barbados,2549.0,280959.0,-59.5988,13.1132
Sao Tome and Principe,401.0,221060.0,6.6131,0.1864
Samoa,699.0,216800.0,-171.7612,-13.8336
Saint Lucia,1117.0,179551.0,-60.987,14.0101
Guam,1082.0,169886.0,144.787,13.47
Kiribati,220.0,127671.0,172.9769,1.3278
Grenada,590.0,124167.0,-61.7485,12.0564
Micronesia,252.0,112624.0,158.185,6.9172
Tonga,458.0,105635.0,-175.2049,-21.1393
Seychelles,570.0,106054.0,55.454,-4.6182
Saint Vincent and the Grenadines,597.0,104553.0,-61.2245,13.1618
United States Virgin Islands,876.0,100342.0,-64.9307,18.3419
Antigua and Barbuda,494.0,92951.0,-61.8468,17.1274
Andorra,928.0,78380.0,1.5218,42.5063
Dominica,512.0,72225.0,-61.387,15.301
Bermuda,819.0,64134.0,-64.783,32.2949
Greenland,368.0,56119.0,-51.7214,64.1836
Northern Mariana Islands,222.0,49543.0,145.7497,15.1986
Saint Kitts and Nevis,209.0,47604.0,-62.7177,17.3026
American Samoa,177.0,45624.0,-170.7046,-14.274
Marshall Islands,72.0,42746.0,171.1856,7.1164
Monaco,722.0,36811.0,7.4246,43.7384
San Marino,514.0,33822.0,12.4578,43.9424
Palau,77.0,17997.0,134.6249,7.5004
Cook Islands,131.0,17016.0,-159.775,-21.207
Nauru,11.0,12414.0,166.9209,-0.5477
Tuvalu,41.0,11140.0,179.1942,-8.5241
Niue,14.0,1943.0,-169.9179,-19.0554
Tokelau,8.0,1837.0,-171.8484,-9.2002
